shipment_id,order_date,ship_date,ship_dow,ship_month,shipment_mode,carrier,service_level,origin_metro,dest_metro,origin_zip,dest_zip,origin_lat,origin_lon,dest_lat,dest_lon,distance_miles,zone,weight_lbs,length_in,width_in,height_in,pallet_count,residential_flag,signature_required,declared_value_usd,fuel_surcharge_pct,weather_severity,carrier_congestion_index,promised_days,carrier_cost_usd,transit_days,delivered_on_time
SHP-42-0003885,2024-04-23,2024-04-23,1,4,parcel,Cobalt Regional,Overnight,Los Angeles CA,Salt Lake City UT,90041,84137,34.05,-118.24,40.76,-111.89,579.6,4,2.48,7.5,4.3,6.5,0,1,0,0.0,0.0954,0.108,0.0,2,29.53,1,1
SHP-42-0010239,2025-01-07,2025-01-09,3,1,parcel,Northstar Parcel,Expedited,Seattle WA,New York NY,98167,10067,47.61,-122.33,40.71,-74.01,2401.7,8,3.57,10.9,6.1,4.2,0,1,1,178.87,0.1353,0.273,0.206,4,28.3,3,1
SHP-42-0035486,2025-07-30,2025-07-30,2,7,ltl_freight,Vela Freight,LTL Standard,Atlanta GA,Miami FL,30358,33142,33.75,-84.39,25.76,-80.19,606.7,5,202.72,31.7,33.0,20.3,1,0,0,0.0,0.0727,0.222,0.119,9,205.09,8,1
SHP-42-0008180,2025-03-24,2025-03-26,2,3,parcel,Northstar Parcel,Ground,New York NY,Salt Lake City UT,10043,84144,40.71,-74.01,40.76,-111.89,1967.5,8,3.53,9.8,5.3,4.7,0,0,0,110.12,0.0917,0.046,0.287,7,11.79,6,1
SHP-42-0015190,2025-05-06,2025-05-08,3,5,parcel,Falcon Post,Expedited,Los Angeles CA,Columbus OH,90058,43209,34.05,-118.24,39.96,-82.99,1974.0,8,6.39,7.1,6.2,7.7,0,0,0,14.83,0.1213,0.273,0.12,4,13.13,6,0
SHP-42-0039820,2025-09-11,2025-09-11,3,9,parcel,Falcon Post,TwoDay,Los Angeles CA,Charlotte NC,90008,28296,34.05,-118.24,35.23,-80.84,2115.0,8,2.81,7.6,5.5,4.7,0,0,0,280.78,0.0852,0.161,0.032,3,18.94,6,0
SHP-42-0038268,2024-08-12,2024-08-12,0,8,parcel,Falcon Post,Ground,Denver CO,Atlanta GA,80262,30317,39.74,-104.99,33.75,-84.39,1209.9,6,2.98,8.5,7.7,3.7,0,1,0,0.0,0.108,0.217,0.088,6,11.25,6,1
SHP-42-0007359,2025-09-06,2025-09-06,5,9,parcel,Summit Express,Ground,Phoenix AZ,Los Angeles CA,85027,90054,33.45,-112.07,34.05,-118.24,356.8,4,1.15,4.0,5.2,2.4,0,0,0,0.0,0.1295,0.138,0.279,5,13.33,4,1
SHP-42-0041202,2024-03-29,2024-03-30,5,3,parcel,Summit Express,Overnight,New York NY,Houston TX,10015,77075,40.71,-74.01,29.76,-95.37,1417.3,7,9.67,11.5,11.0,4.8,0,0,0,49.17,0.0893,0.377,0.059,2,47.91,2,1
SHP-42-0046306,2025-04-16,2025-04-16,2,4,parcel,Northstar Parcel,Overnight,Atlanta GA,Houston TX,30323,77095,33.75,-84.39,29.76,-95.37,701.0,5,3.0,7.3,7.2,6.9,0,1,0,0.0,0.1039,0.16,0.078,2,36.13,2,1
